place_geoid,place_name,state_code,lsad_code,functional_status,land_area_sqm,water_area_sqm,latitude,longitude,source_vintage,source_url,active_listing_count,latest_listing_date
4752006,Nashville-Davidson metropolitan government (balance),TN,00,F,1231823295,55882420,36.1718,-86.785002,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-07-02
4816612,Coppell city,TX,25,A,37358836,804254,32.963306,-96.990556,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-06-19
4824000,El Paso city,TX,25,A,670348703,1382695,31.84778,-106.431106,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-07-02
4861796,Richardson city,TX,25,A,73975569,234253,32.972291,-96.708069,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-06-30
5103320,Ashburn CDP,VA,57,S,39614877,658435,39.027296,-77.471322,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-07-02
5156000,Newport News city,VA,25,A,178698605,131131002,37.076136,-76.52198,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-07-02
5335415,Kent city,WA,25,A,86981912,1510527,47.390008,-122.213528,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-06-24
0473000,Tempe city,AZ,25,A,103522843,543723,33.388414,-111.931782,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-05-28
0606000,Berkeley city,CA,25,A,27018306,18712737,37.865673,-122.298725,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-05-09
0668378,San Ramon city,CA,25,A,51953228,88389,37.765258,-121.931987,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-07-02
0804000,Aurora city,CO,25,A,425073705,1498809,39.709537,-104.720509,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-05-28
0812815,Centennial city,CO,25,A,78104507,379304,39.590856,-104.863754,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-07-01
0918430,Danbury city,CT,25,A,108894404,5768007,41.398741,-73.478103,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-06-09
1077580,Wilmington city,DE,25,A,28218287,16303526,39.735651,-75.532104,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-06-04
1263000,St. Petersburg city,FL,25,A,160077709,190775475,27.762727,-82.644131,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-07-02
1912000,Cedar Rapids city,IA,25,A,193696522,3237801,41.96419,-91.67917,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-06-29
1973335,Sioux City city,IA,25,A,153812876,3027444,42.49538,-96.389495,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-06-30
1608830,Boise City city,ID,25,A,222999277,2537835,43.59805,-116.231596,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-07-02
1720591,Downers Grove village,IL,47,A,37948036,387115,41.79503,-88.021055,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-06-30
1825000,Fort Wayne city,IN,25,A,289456551,863477,41.088193,-85.142791,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-07-02
2071000,Topeka city,KS,25,A,160311945,3406675,39.034673,-95.696191,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-06-24
2127982,Florence city,KY,25,A,28968646,86945,38.993405,-84.648186,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-05-07
2550285,Norwood CDP,MA,57,S,26882338,445372,42.187364,-71.195971,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-06-16
2553960,Pittsfield city,MA,25,A,104812684,5165042,42.45184,-73.260685,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-06-04
